Plattform,Wohnung,Name,Datum,Kommentar,Gefundenes Muster,Originalsprache
Airbnb,B2,Nelli,2025-09-23,Sehr schöner Aufenthalt inmitten der Natur. Die Kommunikation hat wunderbar funktioniert. Gerne wieder.,gerne wieder,de
Airbnb,B2,Simon,2025-04-02,Wir hatten ein tollen Urlaub und kommen gerne wieder! :),"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,B2,Amber,2024-12-29,"Man hat einfach alles, was man braucht, im Zimmer. Wunderschöne Umgebung.Wir wollen auf jeden Fall wiederkommen :) Vielen Dank für den Aufenthalt.",weer terug,nl
Airbnb,B2,Prisca,2024-10-12,"Top Lage, wunderschöner Panoramablick und viele Wanderwege in wenigen Laufminuten zu erreichen. Unterkunft klein aber fein, alles wie beschrieben, unkomplizierter Check in über Code, perfekt für einen Wander kurz Urlaub! Komme gerne wieder.",gerne wieder,de
Airbnb,B2,Dennis,2024-06-18,"Meine Partnerin und Ich waren von der Insolvenz von FTI betroffen und mussten was auf die schnelle finden. Manchmal sollen Dinge einfach so sein wie sie sind und so kamen wir auf diese Unterkunft und hätten uns keinen besseren Urlaub vorstellen können. Die Umgebung ist traumhaft schön und etwas für jeden Mensch der die Natur liebt. Die Unterkunft ist eine kleine aber sehr schöne Wohlfühloase, die sehr schön gelegen ist und die Gastgeber sind sehr freundlich und immer zu erreichen. Das Zimmer war wie auf den Bildern beschrieben und was auch eine nette Überraschung war, war der Fernseher, der sowohl Netflix als auch Amazon Prime hatte, sodass man nach einem anstrengenden Wandertag, den Abend schön gemütlich ausklingen lassen konnte. Ebenfalls war die Ausstattung der Küche einwandfrei, sodass man sich immer etwas leckeres kochen konnte. Perfekt abgerundet wurde das ganze von dem bequemen Bett. Vielen Dank für diesen wunderschönen Urlaub, wir kommen gerne wieder!","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,B5,Claudio,2025-07-01,"Alles prima, gerne wieder.",gerne wieder,de
Airbnb,B5,Anne Sophie Ruth,2025-05-09,"Die Unterkunft ist sauber und unkompliziert. Alles nötige für ein paar Tage ist vorhanden, die Küche ist super ausgestattet. Von Töpfen, Pfanne, solide schneidene Messer und bis zu ein bisschen Gewürzen, ist alles dabei, was für ein paar Tage benötigt wird. Das Bett ist bequem und die Räume wirken sehr freundlich mit ein paar netten dekorativen Elementen. Auch mit dem ÖPNV ist die Unterkunft sehr gut erreichbar. Viele Wandermöglichkeiten direkt vor der Haustür. Die Kommunikation verlief reibungslos und sehr freundlich. Das Haus ist etwas hellhörig, hat mich aber keineswegs gestört.  gerne wieder !",gerne wieder,de
Airbnb,B5,Anne,2025-03-18,Wir haben eine wunderbare Woche in Lichtenhain und Umgebung verbracht und das Appartment war bestens ausgestattet. Wir kommen gerne wieder!,"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,B5,Hazel,2025-03-06,"Der Aufenthalt war wirklich schön, man hat dort richtig schöne Natur und Möglichkeiten zu wandern. Der Check-in war super einfach und die Gastgeber immer super zu erreichen. Die Unterkunft war ordentlich und sauber. Allerdings ist es dort wirklich sehr hellhörig im Haus und das Badezimmer sehr klein und in die Jahre gekommen. Für Emine Aufenthalt war es perfekt und ich würde auch jederzeit wieder hinfahren.",jederzeit wieder,de
Airbnb,B6,Anna,2025-11-16,"Ein sehr angenehmer Aufenthalt in der Wohnung! Alles wie beschrieben, die Wohnung verfügte über alle im Angebot vorgestellten Annehmlichkeiten. Warm, sauber, komfortabel. Parkplatz gegenüber dem Gebäude. Das Einchecken war einfach, wir erhielten klare Anweisungen. Wir werden in Zukunft gerne hierher zurückkehren!",wróc(ę|imy|i),pl
